Gender,Race,Birth Origin,Age,Sports,Avg Deals Closed,Technical Aptitude,HireVue Score,Leadership Capability,Manager's Assessment Score,Educational Prestige,Education,Soft Skills,GPA,Years of Experience,Job Tenure,Military Tenure,Avg Commute Time,Cultural Fit,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names
male,Caucasian,USA,26.0,None,4.43,-2.37,-2.75,1.09,2.756152622257111,1.9,-0.29,4.02,2.95,5.8,0.02878298352111059,2.6,37.0,-0.02,Engineering,Very Good,Good,1.0,0.0,0.0,Weldon Mcmanus
male,Caucasian,Australia,26.0,None,8.57,1.23,1.28,2.64,-2.7684328413149664,1.9,-0.35,2.06,2.93,0.5,0.7970270462981743,4.2,49.0,0.86,Quantitative,Very Good,Bad,0.0,1.0,0.0,Earl Kasprowicz
male,Caucasian,USA,28.0,NCAA,7.71,0.62,0.94,2.57,1.6385661400278204,1.5,-0.41,3.53,2.79,3.6,-1.9987136750307481,2.0,39.0,-1.74,Engineering,Ok,Good,1.0,0.0,0.0,John Bacon
male,Caucasian,USA,31.0,NCAA,5.28,-1.17,-0.78,1.26,4.03755881829278,0.7,1.36,3.15,3.44,3.7,-0.5261560222160174,0.0,62.0,0.01,Humanities,Very Good,Good,1.0,0.0,0.0,Thomas Hampton
male,Caucasian,USA,22.0,None,5.75,-0.77,0.15,1.92,-3.3166398005311075,1.9,-1.52,2.57,3.15,-0.4,-1.6044641751172024,0.0,22.0,-1.5,Engineering,None,Good,0.0,1.0,0.0,Robert Wray
male,Caucasian,USA,29.0,None,5.62,-1.11,-0.83,1.9,1.3455621634767552,1.7,0.66,3.19,2.64,6.8,-2.442624921821654,1.5,42.0,-2.13,Engineering,Very Good,Good,0.0,0.0,0.0,Robert Mccollum
male,Caucasian,USA,36.0,Club/Intramural,7.22,0.39,0.91,2.23,4.767901825184639,2.4,1.44,4.07,3.14,9.7,0.6169625609662698,1.9,7.0,0.38,Quantitative,Very Good,Good,1.0,0.0,0.0,Don Warnack
male,Caucasian,Canada,32.0,None,7.39,-0.1,-0.89,2.36,-0.9351193115980589,2.6,-0.38,3.03,3.2,3.2,0.8290969951615818,1.4,31.0,0.83,Quantitative,Ok,Bad,0.0,0.0,0.0,Russell Vasquez
male,Caucasian,USA,30.0,None,7.4,0.38,0.41,2.28,0.14515761843679384,2.4,0.46,2.71,3.28,2.4,-0.34058930683250505,3.1,31.0,-0.33,Engineering,Very Good,Good,0.0,0.0,0.0,Robert Barrera
male,Caucasian,USA,36.0,NCAA,9.11,2.02,2.65,2.89,4.743709461721091,1.4,0.63,4.26,3.48,7.6,3.4068213610912608,0.0,19.0,2.78,Quantitative,Ok,Good,1.0,0.0,0.0,Matthew Heflin
male,Caucasian,Canada,28.0,None,8.65,1.09,0.3,2.19,-4.520431135536308,2.2,-1.32,2.26,2.59,1.5,-3.5078313466932,0.0,33.0,-2.7,Humanities,Very Good,Bad,0.0,1.0,1.0,Johnathan Haslett
male,Caucasian,USA,26.0,NCAA,8.97,1.71,1.22,1.58,2.3636801747257588,1.8,0.23,3.64,3.05,5.9,-3.8677661208417122,2.5,38.0,-3.51,Quantitative,Very Good,Good,0.0,0.0,0.0,Michael Graham
male,Caucasian,USA,26.0,NCAA,4.07,-2.35,-2.44,0.71,2.4107101842693357,2.0,0.29,3.41,3.05,4.2,-1.412209314503605,0.0,29.0,-1.19,Engineering,Very Good,Good,0.0,0.0,0.0,Alan Baker
male,Caucasian,USA,34.0,NCAA,6.91,0.19,0.65,1.78,5.758917208875516,3.6,0.89,4.54,4.12,4.6,2.7769377705595386,4.8,36.0,2.29,Humanities,Ok,Good,1.0,0.0,0.0,Hugo Vasquez
male,Caucasian,Canada,29.0,None,5.31,-1.5,-1.91,1.39,0.9488534285847995,1.5,0.23,3.04,3.01,3.9,-0.8965812869353816,3.2,45.0,-0.79,Engineering,Very Good,Good,0.0,0.0,0.0,Adam Wilson
male,Caucasian,USA,30.0,None,7.75,0.34,0.96,3.91,-0.5386014571141423,2.6,0.36,2.97,3.07,6.3,-0.03912490623507419,2.0,32.0,0.01,Engineering,None,Bad,1.0,0.0,0.0,Kyle Gray
male,Caucasian,USA,24.0,NCAA,6.95,0.28,0.96,1.98,2.443031913410806,3.7,0.38,3.69,3.02,3.6,-0.06555923282306697,1.2,31.0,0.04,Engineering,Very Good,Good,0.0,0.0,0.0,Brian Dauzat
male,Caucasian,USA,24.0,None,4.79,-1.98,-2.51,0.92,0.9333271749243809,2.4,0.65,2.81,3.15,2.5,-0.9967411169069267,0.0,23.0,-0.71,Humanities,None,Good,0.0,0.0,0.0,Charles Longhurst
male,Caucasian,USA,23.0,None,5.52,-1.33,-1.85,1.37,-0.08108564569455858,1.9,-0.25,2.93,3.15,1.9,-0.40675194645818286,0.0,30.0,-0.21,Engineering,None,Bad,0.0,0.0,0.0,David Davis
male,Caucasian,USA,30.0,None,9.07,1.47,0.44,2.09,-1.6166274225304902,1.4,-0.95,2.93,2.63,3.7,-1.1680138628308985,3.9,17.0,-1.43,Quantitative,Ok,Good,0.0,0.0,0.0,Elias Johnston
male,Caucasian,USA,25.0,None,7.51,0.18,0.04,2.76,-2.3958840620670068,1.4,0.19,1.88,2.94,1.3,-2.8507489893373754,0.6,53.0,-2.3,Quantitative,Ok,Bad,0.0,0.0,0.0,Richard Block
male,Caucasian,USA,27.0,NCAA,9.32,1.66,1.32,3.19,1.964595334463837,2.6,-0.04,3.33,2.59,1.6,1.4043280451511204,4.6,59.0,1.36,Quantitative,Very Good,Good,0.0,0.0,0.0,Paul Rosa
male,Caucasian,USA,28.0,NCAA,10.97,3.15,3.31,4.06,2.8092071727179313,2.3,1.14,3.23,3.2,4.3,0.563765591371873,1.5,16.0,0.37,Humanities,Very Good,Good,1.0,0.0,0.0,Raymond Hester
male,Caucasian,USA,29.0,None,8.12,0.81,0.58,2.52,0.03743347056746729,2.4,1.02,2.48,2.17,5.0,0.6574494641254979,1.7,33.0,0.69,Humanities,None,Good,0.0,0.0,0.0,Robert Mccormick
male,Caucasian,USA,37.0,NCAA,5.97,-0.83,-0.75,1.58,2.1561020123543875,3.5,0.18,3.89,3.09,5.7,3.4892880916586972,4.1,5.0,2.79,Engineering,Very Good,Good,1.0,0.0,0.0,Arthur Wu
male,Caucasian,USA,39.0,NCAA,5.54,-1.1,-0.9,1.67,3.066680934253822,2.4,0.01,4.43,3.49,8.9,1.8560042099184726,4.9,36.0,1.54,Quantitative,Very Good,Good,1.0,0.0,1.0,Harold Stokes
male,Caucasian,Australia,28.0,NCAA,6.49,-0.62,-0.93,2.24,4.844764808315608,1.8,0.93,3.84,3.47,4.8,-2.584436018324835,2.2,37.0,-2.39,Quantitative,Ok,Good,1.0,0.0,0.0,Frank Smith
male,Caucasian,USA,36.0,None,4.5,-2.21,-2.23,1.56,-0.39132550063066296,2.5,0.14,3.1,3.2,6.2,2.7183053521641076,1.8,18.0,2.16,Quantitative,Very Good,Bad,0.0,0.0,0.0,Robert Rabinowitz
male,Caucasian,USA,29.0,None,4.02,-2.29,-1.92,1.15,-0.11818331689011975,1.9,0.27,2.82,3.22,4.0,-0.4837766255314973,2.6,43.0,-0.39,Quantitative,Very Good,Bad,0.0,1.0,0.0,Raymond Wise
male,Caucasian,USA,31.0,NCAA,6.0,-0.72,-0.69,1.46,2.730758202475495,3.6,0.62,3.7,3.07,4.6,1.2659911264584232,2.9,34.0,1.18,Engineering,Ok,Good,1.0,0.0,0.0,Bryon Edwards
male,Caucasian,USA,27.0,NCAA,2.99,-3.13,-2.75,0.77,3.756576212995631,3.7,0.56,4.12,3.75,4.6,0.6141935982976955,0.9,8.0,0.23,Humanities,Ok,Good,1.0,0.0,0.0,Richard Otto
male,Caucasian,USA,27.0,None,9.46,2.08,2.99,3.8,0.9039550969579904,1.5,0.73,2.87,3.02,5.2,0.8535431666187934,2.1,26.0,0.71,Sciences,None,Bad,0.0,0.0,0.0,John Lindsay
male,Caucasian,USA,25.0,NCAA,2.98,-3.24,-3.42,0.15,4.867437796301518,4.5,0.1,4.5,3.75,1.4,-3.305993019712413,0.4,69.0,-2.51,Engineering,Ok,Good,1.0,0.0,0.0,Robert Warren
male,Caucasian,USA,37.0,None,7.02,0.01,0.92,3.08,-0.5196038978418854,2.9,0.38,2.73,2.71,4.2,-0.2713235317109665,5.1,57.0,-0.3,Quantitative,Ok,Bad,0.0,1.0,0.0,Aubrey Palms
male,Caucasian,USA,32.0,NCAA,6.23,-0.53,-0.92,0.85,2.556037350534276,1.8,-0.38,4.34,3.45,7.6,2.195810850245974,0.9,1.0,1.71,Quantitative,Ok,Good,1.0,0.0,0.0,Ralph Christopher
male,Caucasian,USA,25.0,None,5.48,-1.34,-1.59,1.43,-4.165185555140963,2.4,-1.03,2.26,3.11,1.3,1.2008313888208573,2.6,2.0,0.74,Engineering,Ok,Good,1.0,1.0,1.0,Wayne Brennan
male,Caucasian,USA,31.0,None,4.59,-1.61,-0.68,1.38,-1.7728794343196845,0.7,-0.55,2.35,2.52,1.6,4.268030856767705,4.9,34.0,3.71,Quantitative,None,Good,0.0,0.0,0.0,Thomas Wright
male,Caucasian,USA,26.0,None,5.07,-1.54,-1.72,1.26,1.1319337265279494,2.2,-0.05,3.66,3.53,5.8,-1.3701623825077272,2.2,41.0,-1.18,Sciences,None,Good,0.0,0.0,0.0,Ricky Navarrete
male,Caucasian,USA,30.0,None,5.68,-1.02,-0.87,1.88,-1.507381608007363,3.5,-1.16,3.19,3.1,1.0,-1.090654716006801,3.1,19.0,-1.2,Engineering,None,Good,0.0,0.0,0.0,Zachary Brooks
male,Caucasian,USA,24.0,None,5.09,-1.86,-2.18,1.88,0.6464916475494629,3.3,0.36,3.07,2.93,2.6,-2.343548754683588,1.2,59.0,-1.74,Engineering,Very Good,Good,0.0,0.0,0.0,Manuel Mathew
male,Caucasian,USA,32.0,NCAA,5.63,-0.96,-0.06,2.07,7.01934537392933,3.7,0.51,4.96,3.67,4.0,-0.16394280845928416,1.7,2.0,-0.55,Engineering,Ok,Good,1.0,0.0,0.0,John Tribble
male,Caucasian,Australia,34.0,None,5.0,-1.74,-1.92,1.23,0.721202801044977,2.3,1.03,2.88,3.1,5.7,0.11947363422940961,0.0,26.0,0.22,Engineering,Ok,Good,0.0,0.0,0.0,Shane Campbell
male,Caucasian,USA,33.0,None,8.2,0.81,0.33,2.32,1.3562567124467984,2.5,0.49,3.06,2.79,3.3,3.3629929950178608,3.7,22.0,2.88,Engineering,Ok,Good,0.0,0.0,0.0,Jerry Mitchell
male,Caucasian,USA,30.0,None,6.11,-0.84,-0.53,2.48,-0.322193662725984,2.7,-0.06,2.99,2.67,3.7,-0.6167869228801545,0.3,24.0,-0.44,Quantitative,None,Good,0.0,0.0,0.0,Kenneth Yearout
male,Caucasian,USA,33.0,NCAA,3.96,-2.57,-2.92,0.83,2.1191266096936867,0.6,-0.39,3.86,3.74,5.8,-0.6565090850497064,6.4,62.0,-0.67,Quantitative,Ok,Good,0.0,0.0,0.0,Wayne Kuster
male,Caucasian,USA,28.0,None,9.31,1.8,1.52,3.09,1.0025039228947095,2.0,-0.01,3.39,2.96,5.3,0.7544087551047406,1.7,29.0,0.78,Quantitative,Ok,Good,0.0,0.0,0.0,Robert Loudermilk
male,Caucasian,USA,26.0,None,4.31,-2.45,-3.44,0.6,0.40225157980096765,1.5,-0.57,3.1,2.64,2.1,0.81649743686064,2.6,31.0,0.86,Humanities,Very Good,Good,0.0,0.0,0.0,Albert Widera
male,Caucasian,USA,32.0,NCAA,8.36,0.83,-0.45,1.61,3.1488521430244654,3.2,0.97,3.31,3.57,1.5,-1.6479387437248918,4.4,96.0,-1.13,Quantitative,Very Good,Good,1.0,0.0,0.0,Kenneth Clifford
male,Caucasian,USA,23.0,Club/Intramural,6.1,-0.7,-0.72,1.7,-0.3860479802772154,1.6,0.07,2.72,3.43,2.7,-0.6818823517521213,0.3,7.0,-0.88,Engineering,Ok,Bad,0.0,0.0,0.0,Kelly Kong
male,Caucasian,USA,28.0,Club/Intramural,6.33,-0.75,-1.95,0.67,-1.913416052768493,2.1,-0.71,2.44,2.25,0.7,1.4027765101628227,3.1,20.0,1.06,Quantitative,None,Good,0.0,0.0,0.0,Jack Meyer
male,Caucasian,USA,27.0,NCAA,7.08,0.03,0.29,2.38,1.6002883196598412,2.4,-0.39,3.49,2.98,1.9,-3.040924608361303,0.0,43.0,-2.45,Engineering,Very Good,Good,0.0,0.0,0.0,Timothy Rogers
male,Caucasian,USA,33.0,None,4.25,-2.41,-2.82,0.8,0.16894436975549967,1.1,0.14,3.04,2.97,6.7,-2.0595015353678203,2.3,28.0,-1.96,Sciences,Ok,Good,1.0,0.0,0.0,Earnest Halliburton
male,Caucasian,USA,29.0,NCAA,6.33,-0.82,-2.11,0.91,2.498504884990533,1.9,0.68,3.63,3.27,7.2,0.8550295068649669,2.0,28.0,0.86,Quantitative,Ok,Good,0.0,0.0,0.0,Burt Sanders
male,Caucasian,USA,24.0,None,4.47,-2.08,-2.25,1.11,0.9053269633702948,2.7,0.28,3.2,2.62,5.1,-3.9458800028703305,0.5,59.0,-3.37,Engineering,None,Good,0.0,0.0,0.0,Tony Fountain
male,Caucasian,USA,22.0,NCAA,8.72,1.28,1.12,2.95,3.3339835911153357,1.9,0.69,3.75,3.65,5.3,-3.3389345875214045,0.0,27.0,-3.03,Humanities,Very Good,Good,1.0,0.0,0.0,Roy Odems
male,Caucasian,USA,33.0,None,6.63,-0.21,-0.13,1.63,-2.574000531110424,2.0,-0.28,2.64,2.48,6.4,2.818542707757176,1.3,29.0,2.59,Humanities,Very Good,Bad,0.0,0.0,0.0,Kevin Mitchell
male,Caucasian,USA,23.0,None,4.98,-1.43,-0.59,1.91,-1.811734174481998,2.3,0.39,2.17,2.73,2.4,-1.7984936987010063,0.0,12.0,-1.64,Quantitative,None,Bad,0.0,0.0,0.0,Richard Williamson
male,Caucasian,USA,30.0,None,9.81,1.96,1.33,2.91,-1.807367546183581,0.6,0.03,2.15,2.55,3.8,1.9011010918656333,2.0,48.0,2.0,Quantitative,Very Good,Good,0.0,0.0,0.0,David Lafontant
male,Caucasian,USA,31.0,None,4.0,-2.78,-3.33,1.01,-1.7768753918119609,1.8,0.18,2.32,2.9,3.7,2.01730848277073,3.8,31.0,1.73,Engineering,None,Bad,0.0,0.0,0.0,Arturo Hernandez
male,Caucasian,USA,28.0,None,9.9,2.66,3.13,2.96,-1.0338453576877513,1.1,-0.64,3.17,3.02,6.2,1.7309763019400872,1.6,2.0,1.3,Quantitative,None,Bad,0.0,0.0,0.0,Michael Labrie
male,Caucasian,USA,27.0,None,9.06,1.58,1.24,2.64,0.4453885942162271,1.8,0.71,2.54,2.97,2.5,-2.2037339966410188,0.0,36.0,-1.88,Engineering,Very Good,Bad,1.0,0.0,0.0,Jeremy Bickerstaff
male,Caucasian,USA,27.0,NCAA,10.78,3.1,3.12,3.53,5.8607513142266,2.4,0.54,4.47,3.44,5.0,-1.0913857128361022,2.2,66.0,-0.62,Sciences,Ok,Good,1.0,0.0,0.0,Steven Swingle
male,Caucasian,USA,37.0,NCAA,5.0,-1.84,-3.02,0.12,4.20879732051478,2.4,0.6,3.91,3.15,4.6,3.5871839903512,4.6,33.0,3.12,Quantitative,Very Good,Good,1.0,0.0,0.0,Hugh Scarborough
male,Caucasian,USA,31.0,None,5.54,-1.41,-1.98,1.28,0.04845657495505217,2.1,-0.09,3.42,2.66,7.9,-1.4652202690997167,0.0,33.0,-1.2,Engineering,None,Good,0.0,0.0,0.0,David Jimenez
male,Caucasian,USA,29.0,None,8.35,1.41,2.54,2.64,-4.7348315126347025,0.3,-0.95,1.9,3.2,1.9,0.36624632854600686,6.1,51.0,0.24,Quantitative,Ok,Good,1.0,1.0,1.0,Donald Peoples
male,Caucasian,USA,27.0,None,4.71,-1.72,-1.69,1.02,0.5361269297125583,3.7,0.5,3.12,3.04,4.1,0.7647385592110671,2.0,50.0,0.89,Quantitative,Ok,Bad,0.0,0.0,0.0,Joshua Simpson
male,Caucasian,USA,24.0,NCAA,7.83,0.65,0.17,1.55,2.796239929320368,2.7,0.87,3.3,2.85,3.3,-3.197192710382668,0.9,34.0,-2.85,Engineering,Very Good,Good,1.0,0.0,0.0,Melvin Beard
male,Caucasian,USA,24.0,None,4.53,-2.14,-3.21,0.12,-4.728848329395481,1.6,-1.32,1.69,2.46,-2.6,-0.9986576002942277,2.0,40.0,-0.82,Sciences,None,Good,0.0,1.0,1.0,Sergio Helmer
male,Caucasian,USA,27.0,NCAA,4.86,-1.66,-1.45,1.23,3.24954027489901,3.7,1.06,3.6,2.96,4.7,-0.7401393735935702,0.0,14.0,-0.81,Quantitative,Very Good,Good,1.0,1.0,0.0,James Olson
male,Caucasian,USA,27.0,NCAA,6.46,-0.48,-0.92,1.43,3.4465886760857165,2.7,0.83,3.74,2.96,5.2,0.6050320974387362,0.7,12.0,0.57,Engineering,Very Good,Good,1.0,0.0,0.0,John Toman
male,Caucasian,USA,30.0,None,2.51,-3.88,-4.35,0.05,-2.6056360684581374,1.6,-0.53,2.32,2.9,2.0,-1.859091793033132,5.1,83.0,-1.42,Engineering,None,Good,0.0,1.0,0.0,Robby Pollard
male,Caucasian,USA,34.0,None,7.94,1.06,2.28,3.49,-5.009561831652175,2.3,-0.88,1.9,3.0,0.8,2.2669688166778537,5.5,84.0,2.29,Quantitative,None,Bad,0.0,1.0,1.0,Anthony Lee
male,Caucasian,USA,26.0,Club/Intramural,7.14,0.29,1.08,2.39,-2.45236217084254,1.4,0.62,1.8,2.51,4.4,-1.7978767568121388,1.7,28.0,-1.72,Engineering,Ok,Bad,0.0,1.0,0.0,Arthur Mangum
male,Caucasian,USA,33.0,NCAA,8.65,1.38,1.37,2.34,5.845055480999244,2.7,2.23,4.17,3.76,10.5,0.8261109249242955,3.9,60.0,0.92,Humanities,Very Good,Good,1.0,0.0,0.0,Bradley Pines
male,Caucasian,USA,29.0,None,9.67,2.32,2.32,2.4,-4.835199289227611,0.6,-0.9,1.65,2.78,0.7,-1.7160916239713555,5.4,43.0,-1.81,Humanities,Very Good,Good,0.0,1.0,1.0,Michael Boyce
male,Caucasian,USA,29.0,Club/Intramural,7.42,0.38,0.29,2.05,1.1360075513713797,4.2,0.05,3.8,3.22,5.4,-1.8031629540906782,1.5,65.0,-1.23,Sciences,Ok,Good,0.0,0.0,0.0,Maurice Person
male,Caucasian,USA,31.0,None,7.4,0.36,0.41,2.24,-0.9249488942293713,1.0,-0.47,2.86,2.37,4.9,3.0987781278377424,1.2,7.0,2.67,Quantitative,None,Bad,0.0,0.0,0.0,Edward Browning
male,Caucasian,USA,30.0,None,7.16,-0.03,0.25,2.53,0.33892659975914463,2.9,0.37,2.97,2.67,3.8,1.1081582851509744,1.2,40.0,0.44,Engineering,Very Good,Good,0.0,0.0,0.0,Donald Doyle
male,Caucasian,USA,27.0,None,9.38,1.96,2.23,3.3,0.23318208045651892,1.1,0.37,2.82,2.76,5.4,0.5596529498985664,0.0,12.0,0.53,Engineering,Ok,Good,0.0,0.0,0.0,Bernard Williams
male,Caucasian,Canada,30.0,Club/Intramural,3.59,-2.67,-2.95,0.0,5.1998024984528906,2.5,0.96,4.11,3.91,4.7,1.1231072561198512,2.7,43.0,1.18,Humanities,Ok,Good,1.0,0.0,0.0,John Roberts
male,Caucasian,USA,33.0,NCAA,5.79,-1.0,-1.78,0.39,3.7213711553506124,2.2,1.03,3.61,3.5,5.2,2.040681790837588,0.5,21.0,1.92,Humanities,Very Good,Good,0.0,0.0,0.0,Adam Boyles
male,Caucasian,USA,26.0,None,5.81,-1.46,-2.64,1.49,-3.9560615374973898,1.8,-0.7,2.03,2.4,2.4,0.22413654870295557,1.2,15.0,0.1,Engineering,Very Good,Bad,0.0,1.0,0.0,David Culbertson
male,Caucasian,USA,29.0,None,5.55,-1.26,-0.47,2.76,0.028695268167566495,2.2,-0.79,3.31,3.3,2.1,0.37336947928912545,1.9,8.0,0.28,Quantitative,Ok,Bad,0.0,0.0,0.0,Howard Lewis
male,Caucasian,USA,37.0,NCAA,7.31,0.29,0.58,2.39,3.9546912122766247,1.8,1.39,3.4,2.44,7.1,3.9589058270033926,1.4,7.0,3.42,Engineering,None,Good,0.0,0.0,0.0,Kevin Nichols
male,Caucasian,USA,28.0,Club/Intramural,9.13,2.04,2.77,2.74,1.761873487745051,2.8,0.3,3.52,3.45,4.0,0.2512781678998569,0.8,33.0,0.32,Engineering,Very Good,Good,0.0,0.0,0.0,Glen Perry
male,Caucasian,USA,29.0,NCAA,8.48,1.33,1.9,3.06,3.930778551525763,2.9,0.48,3.85,2.99,4.0,-0.8818157787002562,2.9,87.0,-0.45,Sciences,None,Good,1.0,0.0,0.0,Lawrence Christensen
male,Caucasian,USA,28.0,Club/Intramural,5.56,-1.06,-1.07,1.13,2.190182990075972,2.0,0.26,3.36,3.34,2.4,-4.657138753808784,3.3,87.0,-3.95,Quantitative,Ok,Good,0.0,0.0,0.0,Anthony Baxter
male,Caucasian,USA,29.0,None,5.74,-0.98,-0.41,2.08,-2.750688476839574,2.1,-0.6,1.99,2.43,-1.2,-1.0563287719085461,5.1,42.0,-1.2,Engineering,None,Good,0.0,1.0,0.0,Daniel Cates
male,Caucasian,USA,26.0,None,7.79,0.53,0.2,2.33,-3.981119722501784,0.9,-1.38,2.33,2.66,1.8,-1.1782042451052126,0.2,47.0,-0.78,Humanities,None,Good,0.0,1.0,0.0,Fred Watkins
male,Caucasian,USA,29.0,None,4.76,-2.02,-2.68,0.55,-0.6831228290510678,1.2,-0.17,2.87,3.56,3.6,1.5669692636001675,4.3,32.0,1.36,Quantitative,Ok,Good,0.0,0.0,0.0,James Markley
male,Caucasian,USA,23.0,None,7.09,0.2,0.14,1.63,-6.963013571084604,0.2,-0.94,0.91,2.17,-0.1,1.5327855798243872,2.1,18.0,1.3,Engineering,Very Good,Bad,0.0,1.0,1.0,Michael Smith
male,Caucasian,USA,25.0,None,11.87,3.91,3.43,3.26,-1.869369298767764,2.2,-0.76,3.03,3.01,4.8,0.5799088807068061,1.4,30.0,0.61,Quantitative,None,Bad,0.0,0.0,0.0,Carl Mack
male,Caucasian,USA,34.0,NCAA,4.59,-2.31,-2.67,1.74,1.462985860946307,1.4,0.66,3.15,2.79,6.5,3.7463763781412407,2.4,1.0,3.05,Humanities,Ok,Good,1.0,0.0,0.0,Ronnie Edwards
male,Caucasian,USA,26.0,None,6.73,-0.45,-0.89,2.01,-2.2463801499671865,2.1,-0.08,2.28,2.12,3.5,-0.856744297715109,0.5,48.0,-0.36,Engineering,Ok,Bad,0.0,0.0,1.0,Richard Christopher
male,Caucasian,USA,31.0,None,6.9,-0.05,0.44,2.5,-3.8571511841549935,2.2,-0.81,2.33,2.71,3.1,-3.317287251339885,2.8,78.0,-2.59,Engineering,Very Good,Good,0.0,1.0,0.0,Jacob Lenard
male,Caucasian,USA,29.0,Club/Intramural,6.46,-0.4,-0.05,2.16,5.052369733145872,3.3,1.39,4.06,3.48,5.8,-1.3492149098098078,2.6,44.0,-1.15,Quantitative,Very Good,Good,1.0,1.0,0.0,James Bevis
male,Caucasian,USA,25.0,None,4.66,-1.55,-0.96,0.94,0.3743430173729203,1.9,-0.31,3.6,3.48,6.9,-3.6618693810698346,0.0,39.0,-3.0,Engineering,Ok,Good,0.0,0.0,0.0,Larry Pugmire
male,Caucasian,USA,29.0,None,8.02,0.66,0.28,2.33,0.5992005061077654,3.7,-0.44,3.7,4.05,2.4,3.2880047144406155,0.0,42.0,3.35,Quantitative,Ok,Good,0.0,0.0,0.0,Chad Winner
male,Caucasian,USA,32.0,None,5.78,-0.87,-0.76,1.6,0.32754564945723946,3.5,0.28,2.99,2.46,2.9,-0.2246731174179579,4.6,43.0,-0.28,Quantitative,Ok,Good,0.0,0.0,0.0,Robert Black
male,Caucasian,USA,29.0,None,7.62,0.52,0.04,1.56,-3.462296932118905,1.5,-0.71,2.46,3.17,4.8,1.1128436634729242,1.8,19.0,0.95,Sciences,None,Good,0.0,1.0,0.0,Terrence Becker
male,Caucasian,USA,27.0,NCAA,5.7,-1.35,-1.31,2.3,3.84524174795474,2.2,1.1,3.84,3.3,7.8,-3.800200506096956,0.0,16.0,-3.49,Humanities,Very Good,Good,1.0,0.0,0.0,Howard Houser
male,Caucasian,Canada,33.0,NCAA,5.41,-1.22,-1.07,1.39,2.9840984966860415,3.0,0.73,3.63,3.34,4.3,1.0902560397357948,3.1,40.0,0.99,Engineering,Ok,Good,0.0,0.0,0.0,James Dipaola
male,Caucasian,USA,26.0,None,10.2,2.65,2.24,2.61,-1.3410073128847586,2.7,-0.26,2.43,2.91,-0.6,1.6948486219677295,0.8,6.0,1.4,Quantitative,Very Good,Bad,0.0,0.0,0.0,Maynard Zamora
male,Caucasian,USA,28.0,None,5.6,-1.33,-1.89,1.57,-2.171671258458067,2.4,-1.16,2.87,2.84,1.6,-1.5502447258691225,3.2,59.0,-1.35,Humanities,Very Good,Bad,0.0,0.0,0.0,Charles Theil
male,Caucasian,USA,34.0,NCAA,8.33,1.13,1.11,2.21,2.770551396024145,2.6,0.12,3.84,3.67,3.3,-0.3994771672292451,5.6,61.0,-0.32,Engineering,Ok,Good,0.0,0.0,0.0,David Massey
male,Caucasian,USA,26.0,NCAA,5.68,-1.31,-1.95,1.55,4.359444109601983,2.7,0.78,4.11,3.44,6.2,-1.8450172718634117,2.7,32.0,-1.78,Quantitative,Very Good,Good,1.0,0.0,0.0,Albert Mills
male,Caucasian,USA,25.0,None,8.42,1.35,1.53,2.14,1.0929767036736744,1.7,0.24,2.57,2.81,-1.1,1.1311064626947331,0.0,7.0,1.12,Quantitative,Ok,Good,1.0,1.0,0.0,Andrew Williams
male,Caucasian,USA,30.0,None,8.6,1.48,2.01,2.8,-5.454909357016411,1.3,0.12,1.25,2.12,4.1,-2.1356908290074026,2.1,20.0,-2.03,Engineering,Very Good,Good,1.0,1.0,1.0,Preston Featherstone
male,Caucasian,USA,26.0,None,7.46,0.53,0.25,1.59,0.13123601909153607,2.5,0.93,2.53,2.31,4.4,-4.304725650549085,0.1,44.0,-3.7,Quantitative,Ok,Bad,0.0,0.0,0.0,William Danielson
male,Caucasian,USA,28.0,None,5.2,-1.51,-1.52,1.21,-2.1126212976003202,1.7,-1.01,2.75,2.52,2.7,-0.1416347343959278,2.4,6.0,-0.55,Quantitative,Ok,Bad,0.0,0.0,0.0,Jose Pulsifer
male,Caucasian,Australia,30.0,NCAA,7.67,0.52,0.88,2.67,4.335550279643368,2.5,0.18,4.44,3.89,5.2,2.921694934020342,1.1,35.0,2.83,Quantitative,Very Good,Good,1.0,0.0,0.0,Matthew Cook
male,Caucasian,USA,35.0,NCAA,9.18,1.63,1.74,3.18,2.000967127384287,2.8,0.47,3.86,3.28,8.3,-2.410198176750104,3.6,71.0,-2.05,Engineering,None,Good,0.0,0.0,0.0,Rusty Thompson
male,Caucasian,USA,27.0,None,5.06,-1.59,-1.52,1.44,-2.237047188196651,1.7,-0.9,2.77,3.06,2.8,-2.3198886121339,2.1,29.0,-2.19,Engineering,None,Bad,0.0,0.0,0.0,Maurice Breedlove
male,Caucasian,USA,36.0,NCAA,7.85,0.49,0.16,2.02,5.5129131374073825,1.5,1.06,4.4,3.65,9.2,1.228035220122949,1.6,14.0,1.08,Quantitative,Ok,Good,1.0,0.0,0.0,Reginald Williams
male,Caucasian,USA,35.0,None,5.24,-0.92,-0.25,1.12,1.278882767216921,2.9,-0.2,3.64,3.22,4.1,1.2970527933777363,3.4,36.0,1.18,Engineering,Ok,Good,0.0,0.0,0.0,Harold Raneses
